124    0.0005061626434326172    0    0    b'Hello, world!'
125    0.0005271434783935547    0    0    b'Hello, world!'
126    0.0005731582641601562    0    0    b'Hello, world!'
127    0.0005290508270263672    0    0    b'Hello, world!'
128    0.0005068778991699219    0    0    b'Hello, world!'
129    0.0005099773406982422    0    0    b'Hello, world!'
130    0.0005049705505371094    0    0    b'Hello, world!'
131    0.0005018711090087891    0    0    b'Hello, world!'
132    0.0005369186401367188    0    0    b'Hello, world!'
133    0.0005340576171875    0    0    b'Hello, world!'
134    0.0004999637603759766    0    0    b'Hello, world!'
135    0.0005648136138916016    0    0    b'Hello, world!'
136    0.0005640983581542969    0    0    b'Hello, world!'
137    0.0005249977111816406    0    0    b'Hello, world!'
138    0.0005519390106201172    0    0    b'Hello, world!'
139    0.0005559921264648438    0    0    b'Hello, world!'
140    0.0006639957427978516    0    0    b'Hello, world!'
141    0.000982046127319336    0    0    b'Hello, world!'
142    0.0006158351898193359    0    0    b'Hello, world!'
143    0.0005781650543212891    0    0    b'Hello, world!'
144    0.0005698204040527344    0    0    b'Hello, world!'
145    0.0005729198455810547    0    0    b'Hello, world!'
146    0.0005640983581542969    0    0    b'Hello, world!'
147    0.0005548000335693359    0    0    b'Hello, world!'
148    0.0005211830139160156    0    0    b'Hello, world!'
149    0.0005660057067871094    0    0    b'Hello, world!'
150    0.0005490779876708984    0    0    b'Hello, world!'
151    0.0005970001220703125    0    0    b'Hello, world!'
152    0.0006051063537597656    0    0    b'Hello, world!'
153    0.0006210803985595703    0    0    b'Hello, world!'
154    0.0006461143493652344    0    0    b'Hello, world!'
155    0.0005779266357421875    0    0    b'Hello, world!'
156    0.0005588531494140625    0    0    b'Hello, world!'
157    0.0005471706390380859    0    0    b'Hello, world!'
158    0.0006198883056640625    0    0    b'Hello, world!'
159    0.0006802082061767578    0    0    b'Hello, world!'
160    0.0006089210510253906    0    0    b'Hello, world!'
161    0.0006060600280761719    0    0    b'Hello, world!'
162    0.0006091594696044922    0    0    b'Hello, world!'
163    0.0005929470062255859    0    0    b'Hello, world!'
164    0.0005888938903808594    0    0    b'Hello, world!'
165    0.0005970001220703125    0    0    b'Hello, world!'
166    0.0006239414215087891    0    0    b'Hello, world!'
167    0.0006480216979980469    0    0    b'Hello, world!'
168    0.0006148815155029297    0    0    b'Hello, world!'
169    0.0006489753723144531    0    0    b'Hello, world!'
170    0.0006060600280761719    0    0    b'Hello, world!'
171    0.0006270408630371094    0    0    b'Hello, world!'
172    0.0006108283996582031    0    0    b'Hello, world!'
173    0.0006289482116699219    0    0    b'Hello, world!'
174    0.0006651878356933594    0    0    b'Hello, world!'
175    0.0007028579711914062    0    0    b'Hello, world!'
176    0.0006639957427978516    0    0    b'Hello, world!'
177    0.0006439685821533203    0    0    b'Hello, world!'
178    0.0006291866302490234    0    0    b'Hello, world!'
179    0.0006299018859863281    0    0    b'Hello, world!'
180    0.0006291866302490234    0    0    b'Hello, world!'
181    0.0006330013275146484    0    0    b'Hello, world!'
182    0.0006439685821533203    0    0    b'Hello, world!'
183    0.0006909370422363281    0    0    b'Hello, world!'
184    0.0006499290466308594    0    0    b'Hello, world!'
185    0.0006899833679199219    0    0    b'Hello, world!'
186    0.0006620883941650391    0    0    b'Hello, world!'
187    0.0006709098815917969    0    0    b'Hello, world!'
188    0.0006289482116699219    0    0    b'Hello, world!'
189    0.0006339550018310547    0    0    b'Hello, world!'
190    0.0007009506225585938    0    0    b'Hello, world!'
191    0.0008029937744140625    0    0    b'Hello, world!'
192    0.0007450580596923828    0    0    b'Hello, world!'
